neighborhood,cat
Verdum,0
Roquetes,1
Trinitat Nova,2
Turó de la Peira,3
La Marina del Port,4
Sant Andreu de Palomar,5
Trinitat Vella,6
Horta,7
Besòs - Maresme,8
El Clot,9
Congrés - Indians,10
Porta,11
La Sagrera,12
La Marina del Prat Vermell,13
Guinardó,14
Baix Guinardó,15
La Font d´en Fargues,16
Sants,17
Sants-Badal,18
El Coll,19
Prosperitat,20
El Camp de l´Arpa del Clot,21
La Salut,22
Fort Pienc,23
El Poble Sec - Parc de Montjuïc,24
Vallcarca - Penitents,25
Putget - Farró,26
La Verneda - La Pau,27
Sant Martí de Provençals,28
Sant Ramon - Maternitat,29
Hostafrancs,30
Barceloneta,31
Sagrada Família,32
Sant Antoni,33
El Parc i la Llacuna del Poblenou,34
La Nova Esquerra de l´Eixample,35
La Bordeta,36
Raval,37
El Camp d´en Grassot i Gràcia Nova,38
Provençals del Poblenou,39
L´Antiga Esquerra de l´Eixample,40
Poblenou,41
Gòtic,42
Tres Torres,43
Vila de Gràcia,44
La Vila Olímpica del Poblenou,45
St. Pere - Sta. Caterina - El Born,46
Barri de les Corts,47
Dreta de l´Eixample,48
Sant Gervasi - Galvany,49
Sant Gervasi - Bonanova,50
Sarrià,51
Diagonal Mar i el Front Marítim del Poblenou,52
Pedralbes,53
Vallvidrera - Tibidabo - Les Planes,54
