title,city,neighborhood,price_per_month,m2,price_m2,bedrooms,bathrooms,year_of_construction,air_conditioner
Alquiler piso en carrer de parcerisa piso con 3 habitaciones con ascensor en Barcelona,Barcelona,La Bordeta,2435.0,76.0,32.04,3,2,-1,False
Alquiler piso apartamento de 3 habitaciones amueblado y con terraza en eixample dreta en Barcelona,Barcelona,Sagrada Família,1795.0,68.0,26.4,3,,-1,True
"Alquiler piso  en alquiler semiamueblado de 3 habitaciones, con piscina, padralbes en Barcelona",Barcelona,Pedralbes,4500.0,200.0,22.5,3,3,1980,True
Alquiler piso en carrer de parcerisa 34 piso con 3 habitaciones amueblado con ascensor en Barcelona,Barcelona,La Bordeta,2360.0,76.0,31.05,3,2,-1,False
Alquiler piso  de alquiler temporal de 2 habitaciones en el born en Barcelona,Barcelona,St. Pere - Sta. Caterina - El Born,1400.0,66.0,21.21,2,,-1,False
Alquiler piso moderno piso de alquiler en barrio el born en Barcelona,Barcelona,St. Pere - Sta. Caterina - El Born,1350.0,52.0,25.96,2,,-1,False
Alquiler piso  en alquiler de dos habitaciones amueblado en villa olímpica en Barcelona,Barcelona,La Vila Olímpica del Poblenou,3050.0,144.0,21.18,2,2,1992,True
Alquiler piso  en alquiler amueblada y a estrenar en nou barris en Barcelona,Barcelona,Prosperitat,1790.0,80.0,22.38,3,2,2020,True
Alquiler piso  en alquiler amueblado en la calle craywinckel en Barcelona,Barcelona,Sant Gervasi - Bonanova,1650.0,66.0,25.0,1,,1948,True
"Alquiler piso en josep torres 22 piso con 2 habitaciones con ascensor, calefacción y aire acondicionado en Barcelona",Barcelona,Vila de Gràcia,1390.0,55.0,25.27,2,,-1,True
"Alquiler piso en plaça de pau vila 13b piso amueblado con ascensor, parking, calefacción y aire acondicionado en Barcelona",Barcelona,St. Pere - Sta. Caterina - El Born,2100.0,60.0,35.0,1,,-1,True
"Alquiler piso  en alquiler amueblado en calle viladomat, eixample esquerra en Barcelona",Barcelona,La Nova Esquerra de l´Eixample,2400.0,138.0,17.39,3,2,1976,True
Alquiler ático fantastcio ático con terraza en alquiler en Vila de Gràcia en Barcelona,Barcelona,Vila de Gràcia,2600.0,81.0,32.1,2,,2011,True
"Alquiler piso  en alquiler de cuatro habitaciones sin amueblar, horta el guinardó en Barcelona",Barcelona,La Font d´en Fargues,1600.0,100.0,16.0,4,2,1970,True
Alquiler piso  en alquiler en calle parlament - Sant Antoni en Barcelona,Barcelona,Sant Antoni,1500.0,40.0,37.5,1,,-1,True
"Alquiler piso  de alquiler temporal de 2 habitaciones a pasos de la estación ""alfons x"" en Barcelona",Barcelona,Baix Guinardó,1390.0,40.0,34.75,2,,-1,False
